Id,SubjectFocus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity
3422e4906,0,0,0,0,0,0,0,0,0,0,0,0,25
5842f1ff5,0,0,0,0,0,0,0,0,0,0,0,0,50
97aa9eeac,0,0,0,0,0,0,0,0,0,0,0,0,25
c06d167ca,0,0,0,0,0,0,0,0,0,0,0,0,75
8b693ca84,0,0,0,0,0,0,0,0,0,0,0,0,75
1c92ce464,0,0,0,0,0,0,0,0,0,0,0,0,50
6436c1a59,0,0,0,0,0,0,0,0,0,0,0,0,50
234a5a54c,0,0,0,0,0,0,0,0,0,0,0,0,0
85fc3c314,0,0,0,0,0,0,0,0,0,0,0,0,75
1a76190c5,0,0,0,0,0,0,0,0,0,0,0,0,25
9415bc79e,0,0,0,0,0,0,0,0,0,0,0,0,25
4c6fe4100,0,0,0,0,0,0,0,0,0,0,0,0,0
0737e4f11,0,0,0,0,0,0,0,0,0,0,0,0,75
ace21b6b1,0,0,0,0,0,0,0,0,0,0,0,0,25
671ffc570,0,0,0,0,0,0,0,0,0,0,0,0,25
c1e816568,0,0,0,0,0,0,0,0,0,0,0,0,0
22f6c0ac6,0,0,0,0,0,0,0,0,0,0,0,0,25
6fecc5cf7,0,0,0,0,0,0,0,0,0,0,0,0,25
9609a0b86,0,0,0,0,0,0,0,0,0,0,0,0,0
f6551137d,0,0,0,0,0,0,0,0,0,0,0,0,50
f9df8656a,0,0,0,0,0,0,0,0,0,0,0,0,75
9883a048e,0,0,0,0,0,0,0,0,0,0,0,0,50
e8d0907ae,0,0,0,0,0,0,0,0,0,0,0,0,75
1e62e6022,0,0,0,0,0,0,0,0,0,0,0,0,75
45d2ddcb8,0,0,0,0,0,0,0,0,0,0,0,0,50
35593da00,0,0,0,0,0,0,0,0,0,0,0,0,75
fd3172797,0,0,0,0,0,0,0,0,0,0,0,0,25
3d0752cd9,0,0,0,0,0,0,0,0,0,0,0,0,25
370fe2afb,0,0,0,0,0,0,0,0,0,0,0,0,25
60ce9e319,0,0,0,0,0,0,0,0,0,0,0,0,75
80ebea85c,0,0,0,0,0,0,0,0,0,0,0,0,25
cdab8ba8e,0,0,0,0,0,0,0,0,0,0,0,0,50
35c0c3aca,0,0,0,0,0,0,0,0,0,0,0,0,25
368b2adc1,0,0,0,0,0,0,0,0,0,0,0,0,0
25c7d6c3b,0,0,0,0,0,0,0,0,0,0,0,0,50
4c594983d,0,0,0,0,0,0,0,0,0,0,0,0,0
6d9b202c9,0,0,0,0,0,0,0,0,0,0,0,0,25
b36616178,0,0,0,0,0,0,0,0,0,0,0,0,50
