Id,SubjectFocus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity
86e1089a3,0,0,0,0,0,0,0,0,0,0,0,0,50
6296e909a,0,0,0,0,0,0,0,0,0,0,0,0,100
850a43f90,0,0,0,0,0,0,0,0,0,0,0,0,50
d24c30b4b,0,0,0,0,0,0,0,0,0,0,0,0,50
1caa6fcdb,0,0,0,0,0,0,0,0,0,0,0,0,75
7a0942d61,0,0,0,0,0,0,0,0,0,0,0,0,0
8e76c8e39,0,0,0,0,0,0,0,0,0,0,0,0,75
aaedd873d,0,0,0,0,0,0,0,0,0,0,0,0,50
4a9793dfb,0,0,0,0,0,0,0,0,0,0,0,0,75
c02be41e6,0,0,0,0,0,0,0,0,0,0,0,0,50
1fd342e17,0,0,0,0,0,0,0,0,0,0,0,0,0
b38a74866,0,0,0,0,0,0,0,0,0,0,0,0,25
f9d07d5fa,0,0,0,0,0,0,0,0,0,0,0,0,0
b10e7605a,0,0,0,0,0,0,0,0,0,0,0,0,0
cf7d3eec0,0,0,0,0,0,0,0,0,0,0,0,0,50
efbf1703a,0,0,0,0,0,0,0,0,0,0,0,0,50
d341fbfd6,0,0,0,0,0,0,0,0,0,0,0,0,50
edb920079,0,0,0,0,0,0,0,0,0,0,0,0,75
543130f60,0,0,0,0,0,0,0,0,0,0,0,0,0
61fa73996,0,0,0,0,0,0,0,0,0,0,0,0,0
eabb13cea,0,0,0,0,0,0,0,0,0,0,0,0,75
deff069a2,0,0,0,0,0,0,0,0,0,0,0,0,75
4e3640544,0,0,0,0,0,0,0,0,0,0,0,0,25
8ee223a17,0,0,0,0,0,0,0,0,0,0,0,0,50
9a38d4275,0,0,0,0,0,0,0,0,0,0,0,0,75
aece6e7bf,0,0,0,0,0,0,0,0,0,0,0,0,0
ea159d8da,0,0,0,0,0,0,0,0,0,0,0,0,0
af1035c81,0,0,0,0,0,0,0,0,0,0,0,0,25
0d25f084f,0,0,0,0,0,0,0,0,0,0,0,0,50
7fe8ef73d,0,0,0,0,0,0,0,0,0,0,0,0,0
015c75c9e,0,0,0,0,0,0,0,0,0,0,0,0,25
8c131db77,0,0,0,0,0,0,0,0,0,0,0,0,0
d765ae877,0,0,0,0,0,0,0,0,0,0,0,0,50
8ce183889,0,0,0,0,0,0,0,0,0,0,0,0,75
9c0ddccc8,0,0,0,0,0,0,0,0,0,0,0,0,0
f0ef9c777,0,0,0,0,0,0,0,0,0,0,0,0,0
3181e5424,0,0,0,0,0,0,0,0,0,0,0,0,0
e540c1ba5,0,0,0,0,0,0,0,0,0,0,0,0,0
4a4db4d32,0,0,0,0,0,0,0,0,0,0,0,0,50
98a98311c,0,0,0,0,0,0,0,0,0,0,0,0,50
ef14861df,0,0,0,0,0,0,0,0,0,0,0,0,0
a9bc357f0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaf4a1439,0,0,0,0,0,0,0,0,0,0,0,0,25
4e797dcdd,0,0,0,0,0,0,0,0,0,0,0,0,0
259b10a3e,0,0,0,0,0,0,0,0,0,0,0,0,100
d2490c888,0,0,0,0,0,0,0,0,0,0,0,0,0
2c93c0c11,0,0,0,0,0,0,0,0,0,0,0,0,25
4cc70e613,0,0,0,0,0,0,0,0,0,0,0,0,25
ff125cf8d,0,0,0,0,0,0,0,0,0,0,0,0,0
c30dd6e9a,0,0,0,0,0,0,0,0,0,0,0,0,75
be9474b85,0,0,0,0,0,0,0,0,0,0,0,0,50
815f4cc08,0,0,0,0,0,0,0,0,0,0,0,0,25
ec5069cf6,0,0,0,0,0,0,0,0,0,0,0,0,25
867308404,0,0,0,0,0,0,0,0,0,0,0,0,50
e9df3ead7,0,0,0,0,0,0,0,0,0,0,0,0,0
258667857,0,0,0,0,0,0,0,0,0,0,0,0,50
22051ab84,0,0,0,0,0,0,0,0,0,0,0,0,0
dd308e46b,0,0,0,0,0,0,0,0,0,0,0,0,0
6a763a055,0,0,0,0,0,0,0,0,0,0,0,0,25
5e4154870,0,0,0,0,0,0,0,0,0,0,0,0,75
a44d42407,0,0,0,0,0,0,0,0,0,0,0,0,25
cc8401c02,0,0,0,0,0,0,0,0,0,0,0,0,25
0f24b6cd6,0,0,0,0,0,0,0,0,0,0,0,0,75
49bb70e36,0,0,0,0,0,0,0,0,0,0,0,0,50
43ddb2eb4,0,0,0,0,0,0,0,0,0,0,0,0,50
dae92dd61,0,0,0,0,0,0,0,0,0,0,0,0,0
a6ac8884b,0,0,0,0,0,0,0,0,0,0,0,0,25
5247209aa,0,0,0,0,0,0,0,0,0,0,0,0,50
19b1f4263,0,0,0,0,0,0,0,0,0,0,0,0,100
d50e11ec5,0,0,0,0,0,0,0,0,0,0,0,0,25
4407e70f3,0,0,0,0,0,0,0,0,0,0,0,0,75
27b6e5aca,0,0,0,0,0,0,0,0,0,0,0,0,0
1bf1f95ef,0,0,0,0,0,0,0,0,0,0,0,0,0
b84dad49f,0,0,0,0,0,0,0,0,0,0,0,0,0
f0a2122d4,0,0,0,0,0,0,0,0,0,0,0,0,0
1104fe6bb,0,0,0,0,0,0,0,0,0,0,0,0,0
46d88ca3e,0,0,0,0,0,0,0,0,0,0,0,0,75
b99d5d532,0,0,0,0,0,0,0,0,0,0,0,0,0
b9429dc85,0,0,0,0,0,0,0,0,0,0,0,0,75
c61f6507e,0,0,0,0,0,0,0,0,0,0,0,0,75
e464fcd4b,0,0,0,0,0,0,0,0,0,0,0,0,50
86379f12f,0,0,0,0,0,0,0,0,0,0,0,0,50
55fcdea2f,0,0,0,0,0,0,0,0,0,0,0,0,25
392d3346e,0,0,0,0,0,0,0,0,0,0,0,0,75
33db028cb,0,0,0,0,0,0,0,0,0,0,0,0,50
